marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
CD11c,816640,0.03525260463356972,0.0525403656065464,0.01638021692633629,0.0,0.0038305147318169475,0.044701481238007545,0.13480032458901395,0.2529170963168142,0.0,0.9983227849006653
PD-1,816640,0.14526845514774323,0.08886470645666122,0.12979429960250854,0.0297394116409123,0.08096397295594215,0.19173723459243774,0.3116389438509937,0.4204194569587707,0.0,1.0
Granzyme B,816640,0.005623097997158766,0.022080225870013237,0.0,0.0,0.0,0.0011797731858678162,0.03103054519742724,0.10927874922752363,0.0,0.8918511271476746
EGFR,816640,0.14339008927345276,0.12023605406284332,0.11288315802812576,0.0057783643016591675,0.04646668117493391,0.21351809427142143,0.37802869528531996,0.49811779439449294,0.0,1.0
VISTA,816640,0.11273601651191711,0.08552313596010208,0.09079878032207489,0.020177224650979042,0.054793259128928185,0.14631075784564018,0.27777253240346894,0.41817097991704905,0.0,1.0
CD15,816640,0.00850379467010498,0.03000601753592491,7.4354229582240805e-06,0.0,0.0,0.0015687007107771933,0.05165451765060423,0.15064696162939056,0.0,0.9739547967910767
CD194,816640,0.0935698002576828,0.09632529318332672,0.06262661516666412,0.001639367884490639,0.019922707229852676,0.13725107535719872,0.2877816513180731,0.41937545776367186,0.0,0.9674116373062134
ICOS,816640,0.08201418071985245,0.051222577691078186,0.07358777523040771,0.01844112491235137,0.05345520470291376,0.09949389845132828,0.16807968989014627,0.26845075845718375,0.0,1.0
MMP9,816640,0.016049861907958984,0.03743957355618477,0.001213636714965105,0.0,0.0,0.013028433546423912,0.08844944350421406,0.18437422871589654,0.0,0.9982385635375977
Synaptophysin,816640,0.01364489272236824,0.03706293925642967,0.001997794955968857,0.0,4.154205907980213e-05,0.010977635160088539,0.06456853039562697,0.1703648754954338,0.0,0.9998430013656616
CD71,816640,0.15555772185325623,0.11538822203874588,0.13586194813251495,0.009365355083718897,0.07071421295404434,0.21699979156255722,0.37065680474042884,0.5186379164457312,0.0,1.0
GFAP,816640,0.06100849434733391,0.06728847324848175,0.04011482745409012,0.00014766806561965508,0.012705815490335226,0.08735918812453747,0.1909693241119384,0.29851052939891803,0.0,1.0
CD7,816640,0.010751273483037949,0.029588771983981133,0.0009335038485005498,0.0,5.708780577151629e-07,0.007020806078799069,0.05693342313170428,0.14921992436051362,0.0,0.8469276428222656
